pricing_id,trip_id,start_date,end_date,price,discount_percentage,pricing_status
1,1,2026-01-01,2026-03-31,11536.35,0,Expired
2,1,2026-04-01,2026-06-30,12085.7,0,Expired
3,1,2026-07-01,2026-09-30,10437.65,5,Active
4,1,2026-10-01,2026-12-31,12635.05,0,Pending Approval
5,2,2026-01-01,2026-03-31,34716.15,5,Expired
6,2,2026-04-01,2026-06-30,36369.3,10,Expired
7,2,2026-07-01,2026-09-30,31409.85,0,Active
8,2,2026-10-01,2026-12-31,38022.45,0,Pending Approval
9,3,2026-01-01,2026-03-31,6847.05,5,Expired
10,3,2026-04-01,2026-06-30,7173.1,15,Expired
11,3,2026-07-01,2026-09-30,6194.95,0,Active
12,3,2026-10-01,2026-12-31,7499.15,0,Pending Approval
13,4,2026-01-01,2026-03-31,8875.65,0,Expired
14,4,2026-04-01,2026-06-30,9298.3,0,Expired
15,4,2026-07-01,2026-09-30,8030.35,0,Active
16,4,2026-10-01,2026-12-31,9720.95,0,Pending Approval
17,5,2026-01-01,2026-03-31,42687.75,15,Expired
18,5,2026-04-01,2026-06-30,44720.5,0,Expired
19,5,2026-07-01,2026-09-30,38622.25,0,Active
20,5,2026-10-01,2026-12-31,46753.25,0,Pending Approval
21,6,2026-01-01,2026-03-31,9264.15,0,Expired
22,6,2026-04-01,2026-06-30,9705.3,0,Expired
23,6,2026-07-01,2026-09-30,8381.85,0,Active
24,6,2026-10-01,2026-12-31,10146.45,10,Pending Approval
25,7,2026-01-01,2026-03-31,13722.45,5,Expired
26,7,2026-04-01,2026-06-30,14375.9,5,Expired
27,7,2026-07-01,2026-09-30,12415.55,0,Active
28,7,2026-10-01,2026-12-31,15029.35,5,Pending Approval
29,8,2026-01-01,2026-03-31,36495.9,0,Expired
30,8,2026-04-01,2026-06-30,38233.8,0,Expired
31,8,2026-07-01,2026-09-30,33020.1,10,Active
32,8,2026-10-01,2026-12-31,39971.7,5,Pending Approval
33,9,2026-01-01,2026-03-31,10537.8,0,Expired
34,9,2026-04-01,2026-06-30,11039.6,0,Expired
35,9,2026-07-01,2026-09-30,9534.2,0,Active
36,9,2026-10-01,2026-12-31,11541.4,20,Pending Approval
37,10,2026-01-01,2026-03-31,9945.6,0,Expired
38,10,2026-04-01,2026-06-30,10419.2,0,Expired
39,10,2026-07-01,2026-09-30,8998.4,0,Active
40,10,2026-10-01,2026-12-31,10892.8,5,Pending Approval
41,11,2026-01-01,2026-03-31,29750.7,0,Expired
42,11,2026-04-01,2026-06-30,31167.4,10,Expired
43,11,2026-07-01,2026-09-30,26917.3,0,Active
44,11,2026-10-01,2026-12-31,32584.1,5,Pending Approval
45,12,2026-01-01,2026-03-31,10866.45,0,Expired
46,12,2026-04-01,2026-06-30,11383.9,0,Expired
47,12,2026-07-01,2026-09-30,9831.55,10,Active
48,12,2026-10-01,2026-12-31,11901.35,0,Pending Approval
49,13,2026-01-01,2026-03-31,11312.7,0,Expired
50,13,2026-04-01,2026-06-30,11851.4,20,Expired
51,13,2026-07-01,2026-09-30,10235.3,20,Active
52,13,2026-10-01,2026-12-31,12390.1,0,Pending Approval
53,14,2026-01-01,2026-03-31,40113.15,0,Expired
54,14,2026-04-01,2026-06-30,42023.3,15,Expired
55,14,2026-07-01,2026-09-30,36292.85,0,Active
56,14,2026-10-01,2026-12-31,43933.45,5,Pending Approval
57,15,2026-01-01,2026-03-31,10990.35,0,Expired
58,15,2026-04-01,2026-06-30,11513.7,0,Expired
59,15,2026-07-01,2026-09-30,9943.65,10,Active
60,15,2026-10-01,2026-12-31,12037.05,10,Pending Approval
61,16,2026-01-01,2026-03-31,11472.3,0,Expired
62,16,2026-04-01,2026-06-30,12018.6,0,Expired
63,16,2026-07-01,2026-09-30,10379.7,0,Active
64,16,2026-10-01,2026-12-31,12564.9,15,Pending Approval
65,17,2026-01-01,2026-03-31,42590.1,10,Expired
66,17,2026-04-01,2026-06-30,44618.2,0,Expired
67,17,2026-07-01,2026-09-30,38533.9,5,Active
68,17,2026-10-01,2026-12-31,46646.3,0,Pending Approval
69,18,2026-01-01,2026-03-31,6522.6,5,Expired
70,18,2026-04-01,2026-06-30,6833.2,0,Expired
71,18,2026-07-01,2026-09-30,5901.4,10,Active
72,18,2026-10-01,2026-12-31,7143.8,0,Pending Approval
73,19,2026-01-01,2026-03-31,9278.85,0,Expired
74,19,2026-04-01,2026-06-30,9720.7,10,Expired
75,19,2026-07-01,2026-09-30,8395.15,0,Active
76,19,2026-10-01,2026-12-31,10162.55,0,Pending Approval
77,20,2026-01-01,2026-03-31,38435.25,0,Expired
78,20,2026-04-01,2026-06-30,40265.5,0,Expired
79,20,2026-07-01,2026-09-30,34774.75,0,Active
80,20,2026-10-01,2026-12-31,42095.75,0,Pending Approval
81,21,2026-01-01,2026-03-31,7779.45,0,Expired
82,21,2026-04-01,2026-06-30,8149.9,20,Expired
83,21,2026-07-01,2026-09-30,7038.55,5,Active
84,21,2026-10-01,2026-12-31,8520.35,0,Pending Approval
85,22,2026-01-01,2026-03-31,9516.15,10,Expired
86,22,2026-04-01,2026-06-30,9969.3,0,Expired
87,22,2026-07-01,2026-09-30,8609.85,10,Active
88,22,2026-10-01,2026-12-31,10422.45,5,Pending Approval
89,23,2026-01-01,2026-03-31,40930.05,0,Expired
90,23,2026-04-01,2026-06-30,42879.1,0,Expired
91,23,2026-07-01,2026-09-30,37031.95,0,Active
92,23,2026-10-01,2026-12-31,44828.15,0,Pending Approval
93,24,2026-01-01,2026-03-31,10068.45,0,Expired
94,24,2026-04-01,2026-06-30,10547.9,5,Expired
95,24,2026-07-01,2026-09-30,9109.55,20,Active
96,24,2026-10-01,2026-12-31,11027.35,5,Pending Approval
97,25,2026-01-01,2026-03-31,12445.65,10,Expired
98,25,2026-04-01,2026-06-30,13038.3,5,Expired
99,25,2026-07-01,2026-09-30,11260.35,0,Active
100,25,2026-10-01,2026-12-31,13630.95,10,Pending Approval
101,26,2026-01-01,2026-03-31,27254.85,0,Expired
102,26,2026-04-01,2026-06-30,28552.7,5,Expired
103,26,2026-07-01,2026-09-30,24659.15,0,Active
104,26,2026-10-01,2026-12-31,29850.55,0,Pending Approval
105,27,2026-01-01,2026-03-31,7030.8,0,Expired
106,27,2026-04-01,2026-06-30,7365.6,10,Expired
107,27,2026-07-01,2026-09-30,6361.2,10,Active
108,27,2026-10-01,2026-12-31,7700.4,5,Pending Approval
109,28,2026-01-01,2026-03-31,9822.75,0,Expired
110,28,2026-04-01,2026-06-30,10290.5,10,Expired
111,28,2026-07-01,2026-09-30,8887.25,0,Active
112,28,2026-10-01,2026-12-31,10758.25,10,Pending Approval
113,29,2026-01-01,2026-03-31,31789.8,20,Expired
114,29,2026-04-01,2026-06-30,33303.6,0,Expired
115,29,2026-07-01,2026-09-30,28762.2,15,Active
116,29,2026-10-01,2026-12-31,34817.4,5,Pending Approval
117,30,2026-01-01,2026-03-31,9487.8,20,Expired
118,30,2026-04-01,2026-06-30,9939.6,0,Expired
119,30,2026-07-01,2026-09-30,8584.2,10,Active
120,30,2026-10-01,2026-12-31,10391.4,0,Pending Approval
121,31,2026-01-01,2026-03-31,42260.4,0,Expired
122,31,2026-04-01,2026-06-30,44272.8,10,Expired
