interaction_id,lead_id,employee_id,interaction_date,interaction_type,customer_response,objection_category,follow_up_required,next_follow_up_date,interaction_outcome,remarks
1,1,9,2024-10-18,WhatsApp,Interested,No Objection,True,2024-10-23,Converted,Booking confirmed.
2,1,5,2024-10-20,Call,Very Interested,No Objection,True,2024-10-27,Converted,Customer is interested in proceeding.
3,1,12,2024-10-22,Email,Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
4,2,11,2026-04-02,Call,Very Interested,No Objection,True,2026-04-05,Converted,Quotation shared successfully.
5,2,6,2026-04-08,WhatsApp,Very Interested,No Objection,False,,Converted,Booking confirmed.
6,3,4,2024-10-24,SMS,No Response,No Objection,True,2024-10-28,Lost,Quotation shared successfully.
7,3,7,2024-10-31,Call,No Response,No Objection,True,2024-11-05,Lost,Customer is interested in proceeding.
8,3,6,2024-11-03,Call,No Response,No Objection,True,2024-11-09,Lost,Quotation shared successfully.
9,3,9,2024-11-08,Call,Not Interested,Travel Date Issue,True,2024-11-11,Lost,Requested a different departure date.
10,3,5,2024-11-12,WhatsApp,No Response,No Objection,True,2024-11-15,Lost,Booking confirmed.
11,3,2,2024-11-16,WhatsApp,No Response,No Objection,False,,Lost,Quotation shared successfully.
12,4,8,2025-07-06,Call,Very Interested,No Objection,True,2025-07-10,Converted,Customer appreciated the itinerary.
13,4,1,2025-07-09,WhatsApp,Interested,No Objection,True,2025-07-14,Converted,Booking confirmed.
14,4,3,2025-07-12,WhatsApp,Very Interested,No Objection,True,2025-07-19,Converted,Customer is interested in proceeding.
15,4,5,2025-07-19,WhatsApp,Very Interested,No Objection,True,2025-07-26,Converted,Customer appreciated the itinerary.
16,4,2,2025-07-28,WhatsApp,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
17,5,3,2026-07-18,WhatsApp,Interested,No Objection,False,,Quotation Shared,Customer is interested in proceeding.
18,6,11,2026-03-17,Call,Interested,No Objection,True,2026-03-22,Converted,Quotation shared successfully.
19,6,5,2026-03-21,SMS,Very Interested,No Objection,True,2026-03-23,Converted,Booking confirmed.
20,6,10,2026-03-25,Email,Interested,No Objection,True,2026-03-27,Converted,Customer is interested in proceeding.
21,6,12,2026-03-22,Call,Interested,No Objection,True,2026-03-24,Converted,Quotation shared successfully.
22,6,2,2026-04-01,WhatsApp,Interested,No Objection,False,,Converted,Quotation shared successfully.
23,7,4,2025-01-22,Call,Need More Information,Travel Date Issue,True,2025-01-27,Follow-up Scheduled,Travel dates do not match schedule.
24,7,2,2025-01-28,Email,Interested,No Objection,False,,Quotation Shared,Customer is interested in proceeding.
25,8,2,2025-08-08,Call,No Response,No Objection,True,2025-08-10,Lost,Quotation shared successfully.
26,8,4,2025-08-10,Call,No Response,No Objection,True,2025-08-16,Lost,Customer is interested in proceeding.
27,8,9,2025-08-12,Email,Not Interested,Budget Issue,False,,Lost,Customer requested a lower-priced package.
28,9,12,2024-01-07,WhatsApp,Need Time,No Objection,True,2024-01-14,Follow-up Scheduled,Booking confirmed.
29,9,7,2024-01-10,Call,Need Time,Budget Issue,False,,Quotation Shared,Waiting for salary before confirming.
30,10,7,2023-10-25,WhatsApp,No Response,No Objection,True,2023-10-31,Follow-up Scheduled,Quotation shared successfully.
31,10,11,2023-10-29,WhatsApp,Interested,No Objection,False,,Quotation Shared,Booking confirmed.
32,11,12,2024-12-25,Email,Need Time,Family Decision,True,2024-12-30,Follow-up Scheduled,Waiting for family confirmation.
33,11,5,2024-12-27,Email,Need Time,Travel Date Issue,True,2024-12-29,Follow-up Scheduled,Requested a different departure date.
34,11,2,2024-12-29,WhatsApp,Need More Information,Travel Date Issue,False,,Quotation Shared,Office leave not approved yet.
35,12,5,2023-12-20,Call,Interested,No Objection,True,2023-12-23,Converted,Quotation shared successfully.
36,12,1,2023-12-24,WhatsApp,Very Interested,No Objection,True,2023-12-29,Converted,Booking confirmed.
37,12,7,2023-12-26,WhatsApp,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
38,13,11,2025-09-17,Call,Very Interested,No Objection,True,2025-09-22,Converted,Customer appreciated the itinerary.
39,13,7,2025-09-21,Call,Interested,No Objection,True,2025-09-28,Converted,Customer is interested in proceeding.
40,13,2,2025-09-20,Call,Interested,No Objection,True,2025-09-25,Converted,Booking confirmed.
41,13,7,2025-09-25,Call,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
42,14,1,2024-08-17,Call,No Response,No Objection,False,,Quotation Shared,Quotation shared successfully.
43,15,4,2025-07-29,Call,Interested,No Objection,True,2025-08-01,Follow-up Scheduled,Booking confirmed.
44,15,5,2025-08-03,WhatsApp,Interested,No Objection,True,2025-08-10,Follow-up Scheduled,Customer appreciated the itinerary.
45,15,4,2025-08-04,WhatsApp,Interested,No Objection,True,2025-08-08,Follow-up Scheduled,Quotation shared successfully.
46,15,9,2025-08-10,Call,Need More Information,Travel Date Issue,False,,Quotation Shared,Office leave not approved yet.
47,16,11,2024-12-23,WhatsApp,Need Time,Family Decision,True,2024-12-27,Follow-up Scheduled,Spouse approval pending.
48,16,6,2024-12-26,Call,Need Time,Budget Issue,False,,Quotation Shared,Customer requested a lower-priced package.
49,17,11,2026-04-04,WhatsApp,Interested,No Objection,True,2026-04-10,Follow-up Scheduled,Customer appreciated the itinerary.
50,17,3,2026-04-10,WhatsApp,Need More Information,Budget Issue,False,,Quotation Shared,Budget exceeds customer's expectation.
51,18,12,2026-03-20,Email,No Response,No Objection,False,,Quotation Shared,Booking confirmed.
52,19,8,2026-05-07,WhatsApp,Interested,No Objection,True,2026-05-09,Follow-up Scheduled,Customer appreciated the itinerary.
53,19,12,2026-05-09,Email,Need Time,Competitor,True,2026-05-13,Follow-up Scheduled,Waiting for competitor quotation.
54,19,6,2026-05-15,WhatsApp,Interested,No Objection,True,2026-05-17,Follow-up Scheduled,Booking confirmed.
55,19,9,2026-05-22,Email,Interested,No Objection,False,,Quotation Shared,Customer is interested in proceeding.
56,20,2,2025-03-29,WhatsApp,Interested,No Objection,True,2025-04-01,Converted,Customer is interested in proceeding.
57,20,2,2025-03-31,Call,Very Interested,No Objection,True,2025-04-04,Converted,Booking confirmed.
58,20,4,2025-04-02,WhatsApp,Very Interested,No Objection,True,2025-04-05,Converted,Customer appreciated the itinerary.
59,20,7,2025-04-11,Call,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
60,21,9,2024-06-18,SMS,Interested,No Objection,True,2024-06-25,Converted,Customer is interested in proceeding.
61,21,10,2024-06-19,Email,Very Interested,No Objection,True,2024-06-24,Converted,Booking confirmed.
62,21,11,2024-06-26,Call,Interested,No Objection,True,2024-06-28,Converted,Quotation shared successfully.
63,21,1,2024-06-22,Call,Very Interested,No Objection,False,,Converted,Quotation shared successfully.
64,22,5,2025-03-15,WhatsApp,Not Interested,Budget Issue,True,2025-03-18,Lost,Budget exceeds customer's expectation.
65,22,3,2025-03-18,SMS,No Response,No Objection,True,2025-03-20,Lost,Quotation shared successfully.
66,22,7,2025-03-23,Email,Not Interested,Office Leave,True,2025-03-30,Lost,Waiting for office leave approval.
67,22,1,2025-03-28,Call,Not Interested,Budget Issue,False,,Lost,Customer requested a lower-priced package.
68,23,5,2025-12-09,WhatsApp,Very Interested,No Objection,True,2025-12-11,Converted,Customer is interested in proceeding.
69,23,9,2025-12-15,Call,Interested,No Objection,False,,Converted,Quotation shared successfully.
70,24,4,2024-09-26,Call,Need Time,Competitor,True,2024-10-03,Follow-up Scheduled,Waiting for competitor quotation.
71,24,5,2024-10-01,Call,Need Time,Budget Issue,True,2024-10-04,Follow-up Scheduled,Budget exceeds customer's expectation.
72,24,3,2024-10-06,Call,Interested,No Objection,True,2024-10-08,Follow-up Scheduled,Quotation shared successfully.
73,24,2,2024-10-02,Call,Need More Information,Travel Date Issue,False,,Quotation Shared,Office leave not approved yet.
74,25,2,2025-12-02,Call,Very Interested,No Objection,True,2025-12-07,Converted,Customer appreciated the itinerary.
75,25,10,2025-12-06,WhatsApp,Interested,No Objection,True,2025-12-09,Converted,Quotation shared successfully.
76,25,2,2025-12-14,Email,Interested,No Objection,True,2025-12-20,Converted,Quotation shared successfully.
77,25,7,2025-12-11,Call,Interested,No Objection,True,2025-12-15,Converted,Customer is interested in proceeding.
78,25,12,2025-12-21,Call,Very Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
79,26,11,2025-09-21,Call,Interested,No Objection,True,2025-09-27,Converted,Quotation shared successfully.
80,26,3,2025-09-26,Call,Interested,No Objection,True,2025-10-03,Converted,Customer is interested in proceeding.
81,26,6,2025-09-23,SMS,Interested,No Objection,True,2025-09-29,Converted,Customer is interested in proceeding.
82,26,10,2025-09-30,Call,Very Interested,No Objection,True,2025-10-04,Converted,Customer is interested in proceeding.
83,26,6,2025-10-08,WhatsApp,Interested,No Objection,False,,Converted,Booking confirmed.
84,27,9,2025-03-19,Email,Interested,No Objection,True,2025-03-24,Converted,Customer is interested in proceeding.
85,27,3,2025-03-24,Call,Very Interested,No Objection,True,2025-03-26,Converted,Customer is interested in proceeding.
86,27,7,2025-03-24,SMS,Very Interested,No Objection,True,2025-03-26,Converted,Booking confirmed.
87,27,5,2025-04-02,Call,Interested,No Objection,True,2025-04-05,Converted,Booking confirmed.
88,27,6,2025-04-08,WhatsApp,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
89,28,12,2025-07-14,Call,Interested,No Objection,True,2025-07-20,Converted,Customer appreciated the itinerary.
90,28,7,2025-07-15,WhatsApp,Interested,No Objection,True,2025-07-21,Converted,Customer appreciated the itinerary.
91,28,2,2025-07-19,Call,Interested,No Objection,True,2025-07-22,Converted,Booking confirmed.
92,28,11,2025-07-28,Call,Interested,No Objection,True,2025-08-01,Converted,Customer appreciated the itinerary.
93,28,12,2025-07-27,Email,Very Interested,No Objection,False,,Converted,Quotation shared successfully.
94,29,6,2024-09-29,Call,Interested,No Objection,False,,Quotation Shared,Quotation shared successfully.
95,30,11,2023-11-09,WhatsApp,Very Interested,No Objection,True,2023-11-13,Converted,Customer is interested in proceeding.
96,30,3,2023-11-12,Call,Interested,No Objection,True,2023-11-19,Converted,Quotation shared successfully.
97,30,12,2023-11-16,Call,Very Interested,No Objection,True,2023-11-22,Converted,Customer appreciated the itinerary.
98,30,12,2023-11-20,Call,Very Interested,No Objection,True,2023-11-25,Converted,Quotation shared successfully.
99,30,10,2023-11-29,WhatsApp,Very Interested,No Objection,False,,Converted,Quotation shared successfully.
100,31,9,2024-06-10,Call,Not Interested,Budget Issue,True,2024-06-16,Lost,Customer requested a lower-priced package.
101,31,9,2024-06-10,Call,Not Interested,Need Customization,True,2024-06-13,Lost,Customer requested a customized itinerary.
102,31,11,2024-06-13,Call,Not Interested,Competitor,True,2024-06-17,Lost,Waiting for competitor quotation.
103,31,2,2024-06-25,WhatsApp,No Response,No Objection,True,2024-07-02,Lost,Quotation shared successfully.
104,31,2,2024-06-19,Call,Not Interested,Budget Issue,False,,Lost,Customer requested a lower-priced package.
105,32,6,2025-03-08,Call,No Response,No Objection,True,2025-03-10,Lost,Quotation shared successfully.
106,32,4,2025-03-13,SMS,Not Interested,Competitor,True,2025-03-20,Lost,Customer is comparing another travel company.
107,32,8,2025-03-19,Call,No Response,No Objection,True,2025-03-26,Lost,Quotation shared successfully.
108,32,10,2025-03-15,Call,Not Interested,Budget Issue,False,,Lost,Budget exceeds customer's expectation.
109,33,11,2024-12-10,WhatsApp,Need Time,Need Customization,True,2024-12-14,Follow-up Scheduled,Asked to include extra sightseeing.
110,33,3,2024-12-14,Call,Interested,No Objection,False,,Quotation Shared,Booking confirmed.
111,34,6,2025-11-18,Call,No Response,No Objection,True,2025-11-21,Lost,Customer appreciated the itinerary.
112,34,5,2025-11-18,Call,Not Interested,Payment Issue,True,2025-11-25,Lost,Requested EMI option.
113,34,7,2025-11-22,Call,No Response,No Objection,False,,Lost,Customer appreciated the itinerary.
114,35,6,2025-06-26,Call,Very Interested,No Objection,True,2025-07-01,Converted,Booking confirmed.
115,35,11,2025-07-02,Call,Interested,No Objection,True,2025-07-07,Converted,Customer appreciated the itinerary.
116,35,3,2025-07-03,Email,Interested,No Objection,False,,Converted,Booking confirmed.
