payment_id,booking_id,payment_timestamp,payment_method,payment_status,transaction_id,amount_paid,refund_amount,currency
1,1,2026-07-07 02:34:56,UPI,Paid,TPPAYRMKR7YXKCF,34473.6,0.0,INR
2,2,2026-09-01 03:23:40,UPI,Paid,TPPAYSYLGXB0P60,20698.0,0.0,INR
3,3,2023-09-30 02:53:33,Net Banking,Paid,TPPAYX5G1VKV5WN,30310.4,0.0,INR
4,4,2025-02-18 02:15:39,Debit Card,Paid,TPPAY5E78Q5JN84,39572.0,0.0,INR
5,5,2026-02-25 05:46:55,Credit Card,Refunded,TPPAYK9IGX5A0Y4,23706.0,23706.0,INR
6,6,2023-11-24 01:30:10,Net Banking,Paid,TPPAY40FOU4YV5F,10379.7,0.0,INR
7,7,2026-07-29 00:50:15,UPI,Paid,TPPAYPQ2FBZ5MZM,25908.0,0.0,INR
8,8,2026-07-18 00:41:53,Credit Card,Refunded,TPPAYKQAG0MRXYN,84795.0,84795.0,INR
9,9,2026-07-08 20:46:26,UPI,Pending,TPPAYGUZLQOV5Q5,0.0,0.0,INR
10,10,2026-07-18 13:14:20,Debit Card,Paid,TPPAYRZ5G4K99HX,35993.6,0.0,INR
11,11,2026-03-11 10:01:26,UPI,Paid,TPPAYXNH7NHNC0R,24322.0,0.0,INR
12,12,2026-06-28 01:21:49,UPI,Paid,TPPAYBK560YGIXD,28146.6,0.0,INR
13,13,2026-08-26 08:27:50,Credit Card,Pending,TPPAYX7CMGBOB41,0.0,0.0,INR
14,14,2026-08-04 22:49:53,Debit Card,Paid,TPPAYE7QA3TAPXH,8837.0,0.0,INR
15,15,2026-06-20 21:13:10,Wallet,Paid,TPPAYWKZJEI04XO,121965.0,0.0,INR
16,16,2025-09-25 21:54:18,Credit Card,Paid,TPPAYONWOEW60H5,34818.0,0.0,INR
17,17,2026-08-19 21:59:42,UPI,Paid,TPPAY2EJUJPM6HS,46570.5,0.0,INR
18,18,2026-07-28 19:21:02,Credit Card,Paid,TPPAY3JYW3G7PAP,67296.0,0.0,INR
19,19,2026-08-04 16:29:41,Net Banking,Pending,TPPAY1AE7IHUCED,0.0,0.0,INR
20,20,2025-03-24 08:08:15,Credit Card,Paid,TPPAY953LY39B16,35148.0,0.0,INR
21,21,2026-07-23 00:58:24,Credit Card,Paid,TPPAYCEYPE3KLPL,21122.3,0.0,INR
22,22,2026-08-06 20:19:44,Credit Card,Refunded,TPPAY5Q8WTK79NL,10336.85,10336.85,INR
23,23,2026-08-13 15:23:58,UPI,Paid,TPPAYTV5PG3GWSQ,86808.0,0.0,INR
24,24,2024-08-21 04:21:10,Debit Card,Paid,TPPAYZE5LVZU89C,20698.0,0.0,INR
25,25,2023-12-06 00:18:25,Credit Card,Paid,TPPAYR7893PY8R9,23101.2,0.0,INR
26,26,2026-08-21 20:52:46,UPI,Paid,TPPAYQPIJMWLD83,19178.0,0.0,INR
27,27,2026-06-28 23:55:57,Debit Card,Pending,TPPAYT5F58AL9SO,0.0,0.0,INR
28,28,2026-06-16 12:24:04,Net Banking,Paid,TPPAYPCQWGK759O,52276.0,0.0,INR
29,29,2025-11-22 12:20:00,Credit Card,Paid,TPPAYRH4X24AH7Y,19692.0,0.0,INR
30,30,2025-08-07 20:36:14,UPI,Paid,TPPAYE32A35EGJ3,30108.0,0.0,INR
31,31,2026-06-17 20:32:41,Credit Card,Paid,TPPAY70C3F03I8T,9355.0,0.0,INR
32,32,2026-08-12 03:07:57,UPI,Paid,TPPAY897MIAVTPT,25359.0,0.0,INR
33,33,2026-07-01 18:03:55,Debit Card,Paid,TPPAYNLUYL18SFI,25908.0,0.0,INR
34,34,2026-07-03 07:23:53,UPI,Paid,TPPAYRA7TE7P7YM,109055.0,0.0,INR
35,35,2026-03-25 10:34:46,Credit Card,Paid,TPPAYTS5ELRV43Q,61772.0,0.0,INR
36,36,2025-10-07 19:32:47,UPI,Paid,TPPAYIR1AT97BFJ,33351.0,0.0,INR
37,37,2025-07-08 08:42:11,UPI,Refunded,TPPAYGCNBSLWQ0F,38527.25,38527.25,INR
38,38,2024-05-21 23:44:43,Credit Card,Paid,TPPAYGIHO5XXU55,44756.0,0.0,INR
39,39,2026-08-09 16:20:33,Credit Card,Paid,TPPAYTG2MLK0EQR,25563.75,0.0,INR
40,40,2025-12-02 01:22:51,Net Banking,Paid,TPPAYDAYBNAAJ0K,139032.0,0.0,INR
41,41,2026-08-19 16:18:52,UPI,Paid,TPPAYT6DSVCPQWV,62006.0,0.0,INR
42,42,2026-08-07 15:22:11,UPI,Paid,TPPAY6EHI28GLUD,105248.7,0.0,INR
43,43,2024-07-15 12:16:00,UPI,Paid,TPPAY8W60ZGQ30O,44468.0,0.0,INR
44,44,2026-07-15 17:48:16,Credit Card,Paid,TPPAYMDMZTZSFLK,31401.0,0.0,INR
45,45,2024-10-18 14:56:56,Net Banking,Paid,TPPAYCQWAOD5UE2,51914.0,0.0,INR
46,46,2026-06-24 04:17:29,Debit Card,Paid,TPPAYM4CU3LKEPV,10005.3,0.0,INR
47,47,2025-10-31 06:53:53,Debit Card,Paid,TPPAYCHC35D2SJX,12905.0,0.0,INR
48,48,2024-07-18 17:24:08,UPI,Paid,TPPAY6TQ0JGSK31,46148.0,0.0,INR
49,49,2026-07-27 00:48:16,Credit Card,Paid,TPPAY06KZGT6AQE,122716.25,0.0,INR
50,50,2024-06-29 17:56:19,Credit Card,Paid,TPPAY4QRPYCL1GA,29180.2,0.0,INR
51,51,2024-04-22 15:59:06,Wallet,Paid,TPPAYZOD1XISCB7,146420.0,0.0,INR
52,52,2026-07-01 11:16:45,UPI,Paid,TPPAYH7JFRHRBIF,65106.0,0.0,INR
53,53,2026-09-04 16:38:35,Credit Card,Paid,TPPAY5IEX380IKQ,33567.0,0.0,INR
54,54,2026-02-18 01:35:47,Debit Card,Paid,TPPAYOC4J2TWIPH,155924.0,0.0,INR
55,55,2025-07-26 10:50:36,Net Banking,Paid,TPPAYME6DLSVOE1,77434.0,0.0,INR
56,56,2024-08-25 10:35:13,Net Banking,Refunded,TPPAY9K0EY52KEL,14818.0,14818.0,INR
57,57,2026-08-13 13:35:14,UPI,Refunded,TPPAYKW56HJSDYM,92560.0,14818.0,INR
58,58,2026-04-04 10:34:25,Credit Card,Paid,TPPAYC5VG38VQVK,121965.0,0.0,INR
59,59,2023-11-01 10:08:56,Debit Card,Paid,TPPAYTPWJHQJUQW,55365.0,0.0,INR
60,60,2024-12-17 15:36:41,UPI,Paid,TPPAYT0HY5D22XM,103820.0,0.0,INR
61,61,2025-10-22 03:15:19,Debit Card,Refunded,TPPAYZSO1ZOHTPY,10298.95,10298.95,INR
62,62,2026-08-12 23:39:08,UPI,Refunded,TPPAYH3UFL2QWFJ,12030.0,12030.0,INR
63,63,2025-05-22 09:34:13,Credit Card,Paid,TPPAYX32Q2IV8BS,44468.0,0.0,INR
64,64,2025-11-19 01:43:57,Credit Card,Paid,TPPAYSXCVUI3IGX,33351.0,0.0,INR
65,65,2023-10-20 10:27:06,Credit Card,Paid,TPPAYBABQDAQ9F6,50928.0,0.0,INR
66,66,2024-12-11 00:47:48,UPI,Paid,TPPAYY194XM35SH,31312.95,0.0,INR
67,67,2026-08-14 07:23:11,Debit Card,Paid,TPPAYB3OVOJTZZM,17481.6,0.0,INR
68,68,2026-07-21 05:12:09,Net Banking,Paid,TPPAYBDAIN1KMEW,109055.0,0.0,INR
69,69,2026-08-07 15:21:54,Credit Card,Paid,TPPAY7VFDSLPZAU,25908.0,0.0,INR
70,70,2023-11-01 17:22:02,UPI,Paid,TPPAYD46FR94EA1,46074.0,0.0,INR
71,71,2026-06-13 21:26:23,Credit Card,Paid,TPPAYH910ICYIMF,103828.0,0.0,INR
72,72,2023-11-28 22:29:54,Credit Card,Paid,TPPAYBZBKRY6B68,33567.0,0.0,INR
