customer_campaign_id,customer_id,campaign_id,acquisition_date,first_touch,conversion_date
1,1,21,2026-05-06,Paid Ads,2026-05-07
2,2,8,2024-01-09,Organic Search,2024-01-30
3,3,27,2025-06-04,Paid Ads,2025-06-07
4,4,24,2025-06-17,Direct,2025-06-17
5,5,15,2024-09-25,Organic Search,2024-10-06
6,6,16,2025-05-15,Email,2025-05-22
7,7,18,2025-11-25,Paid Ads,2025-12-09
8,8,10,2024-05-11,Paid Ads,2024-05-21
9,9,18,2025-11-25,Paid Ads,2025-12-22
10,10,11,2025-12-29,Organic Search,2026-01-10
11,11,2,2025-09-26,Organic Search,2025-10-21
12,12,29,2024-09-30,Paid Ads,2024-10-03
13,13,22,2026-08-08,Paid Ads,2026-08-19
14,14,28,2024-10-28,Organic Search,2024-11-12
15,15,23,2024-06-19,Organic Search,2024-07-19
16,16,23,2024-06-19,Organic Search,2024-07-10
17,17,22,2026-08-09,Email,2026-08-14
18,18,26,2025-09-16,Email,2025-10-11
19,19,1,2024-08-29,Paid Ads,2024-09-20
20,20,30,2026-05-21,Organic Search,2026-06-13
21,21,11,2026-01-28,Paid Ads,2026-02-12
22,22,11,2026-01-03,Email,2026-01-20
23,23,5,2024-02-04,Paid Ads,2024-02-19
24,24,23,2024-06-27,Direct,2024-07-20
25,25,29,2024-09-15,Organic Search,2024-10-01
26,26,20,2025-11-28,Paid Ads,2025-12-22
27,27,8,2024-01-11,Paid Ads,2024-01-17
28,28,21,2026-05-10,Paid Ads,2026-05-23
29,29,28,2024-10-18,Email,2024-10-22
30,30,9,2025-06-05,Paid Ads,2025-06-24
31,31,5,2024-02-08,Paid Ads,2024-02-14
32,32,10,2024-05-17,Direct,2024-05-30
33,33,7,2023-12-16,Direct,2023-12-31
34,34,14,2026-04-21,Email,2026-05-08
35,35,12,2024-04-13,Organic Search,2024-05-07
36,36,19,2025-10-28,Paid Ads,2025-11-06
37,37,6,2023-10-19,Direct,2023-10-20
38,38,30,2026-05-22,Direct,2026-06-02
39,39,19,2025-10-23,Organic Search,2025-10-31
40,40,27,2025-06-17,Email,2025-06-29
41,41,20,2025-11-02,Organic Search,2025-11-20
42,42,25,2025-08-04,Organic Search,2025-08-29
43,43,30,2026-05-17,Organic Search,2026-06-15
44,44,13,2026-01-24,Direct,2026-02-05
45,45,28,2024-11-09,Organic Search,2024-11-11
46,46,12,2024-04-12,Direct,2024-05-09
47,47,15,2024-09-15,Paid Ads,2024-10-12
48,48,26,2025-09-14,Organic Search,2025-09-29
49,49,3,2025-09-26,Direct,2025-10-03
50,50,27,2025-06-24,Direct,2025-06-26
51,51,13,2026-01-23,Organic Search,2026-02-20
52,52,15,2024-09-20,Organic Search,2024-09-27
53,53,3,2025-09-25,Paid Ads,2025-10-11
54,54,16,2025-05-04,Paid Ads,2025-05-12
55,55,1,2024-09-02,Organic Search,2024-10-01
56,56,16,2025-04-25,Paid Ads,2025-05-17
57,57,24,2025-06-24,Paid Ads,2025-07-22
58,58,30,2026-05-21,Organic Search,2026-06-01
59,59,22,2026-08-09,Paid Ads,2026-08-09
60,60,25,2025-08-03,Organic Search,2025-08-06
61,61,23,2024-06-23,Organic Search,2024-07-06
62,62,28,2024-11-01,Organic Search,2024-11-21
63,63,25,2025-08-17,Direct,2025-08-30
64,64,10,2024-05-17,Direct,2024-06-13
65,65,12,2024-03-18,Email,2024-04-08
66,66,19,2025-10-15,Paid Ads,2025-11-03
67,67,15,2024-09-13,Paid Ads,2024-09-30
68,68,13,2026-01-23,Organic Search,2026-02-18
69,69,19,2025-10-06,Organic Search,2025-11-05
70,70,20,2025-11-14,Paid Ads,2025-12-11
71,71,8,2024-01-12,Organic Search,2024-01-28
72,72,9,2025-05-29,Paid Ads,2025-06-01
73,73,10,2024-05-17,Paid Ads,2024-05-23
74,74,28,2024-10-19,Organic Search,2024-11-10
75,75,15,2024-09-18,Organic Search,2024-09-22
76,76,26,2025-09-13,Organic Search,2025-09-20
77,77,27,2025-06-11,Paid Ads,2025-06-16
78,78,15,2024-09-11,Organic Search,2024-10-05
79,79,23,2024-06-16,Direct,2024-07-11
80,80,5,2024-02-06,Paid Ads,2024-02-07
81,81,18,2025-11-26,Organic Search,2025-12-05
82,82,14,2026-04-11,Organic Search,2026-05-03
83,83,16,2025-05-27,Organic Search,2025-06-19
84,84,18,2025-11-29,Paid Ads,2025-12-17
85,85,18,2025-12-05,Paid Ads,2025-12-11
86,86,12,2024-04-12,Email,2024-05-11
87,87,10,2024-05-14,Organic Search,2024-06-03
88,88,19,2025-09-28,Direct,2025-10-27
