trip_id,destination_id,trip_name,trip_type,duration_days,max_capacity,base_price,difficulty_level,target_audience,trip_status
1,1,Manali Backpacking Expedition,Backpacking,4,25,10987,Moderate,"Students, Solo Travellers",Active
2,1,Manali Luxury Retreat,Luxury,5,24,33063,Easy,"Couples, Families",Active
3,1,Manali Weekend Getaway,Weekend Getaway,4,23,6521,Easy,"Families, Corporate",Active
4,2,Shimla Backpacking Expedition,Backpacking,6,29,8453,Moderate,"Students, Solo Travellers",Active
5,2,Shimla Luxury Retreat,Luxury,5,17,40655,Easy,"Couples, Families",Active
6,2,Shimla Weekend Getaway,Weekend Getaway,4,26,8823,Easy,"Families, Corporate",Active
7,3,Kasol Backpacking Expedition,Backpacking,6,26,13069,Moderate,"Students, Solo Travellers",Active
8,3,Kasol Luxury Escape,Luxury,5,16,34758,Easy,"Couples, Families",Active
9,3,Kasol Weekend Getaway,Weekend Getaway,3,27,10036,Easy,"Families, Corporate",Active
10,4,Dharamshala & McLeod Ganj Backpacking Expedition,Backpacking,4,34,9472,Moderate,"Students, Solo Travellers",Active
11,4,Dharamshala & McLeod Ganj Luxury Retreat,Luxury,5,22,28334,Easy,"Couples, Families",Active
12,4,Dharamshala & McLeod Ganj Weekend Getaway,Weekend Getaway,2,21,10349,Easy,"Families, Corporate",Active
13,5,Leh-Ladakh Backpacking Expedition,Backpacking,4,26,10774,Moderate,"Students, Solo Travellers",Active
14,5,Leh-Ladakh Luxury Retreat,Luxury,4,15,38203,Easy,"Couples, Families",Active
15,5,Leh-Ladakh Weekend Getaway,Weekend Getaway,3,20,10467,Easy,"Families, Corporate",Active
16,6,Auli Backpacking Expedition,Backpacking,6,31,10926,Moderate,"Students, Solo Travellers",Active
17,6,Auli Luxury Retreat,Luxury,3,21,40562,Easy,"Couples, Families",Active
18,6,Auli Weekend Getaway,Weekend Getaway,3,23,6212,Easy,"Families, Corporate",Active
19,7,Nainital Backpacking Expedition,Backpacking,4,29,8837,Moderate,"Students, Solo Travellers",Active
20,7,Nainital Luxury Retreat,Luxury,5,22,36605,Easy,"Couples, Families",Active
