campaign_id,campaign_name,platform,start_date,end_date,budget,campaign_status
1,Solo Explorer 2024 #1,Instagram,2024-08-05,2024-09-11,574957,Completed
2,Winter Wonderland 2025 #2,Instagram,2025-09-26,2025-10-16,424690,Completed
3,Family Vacation 2025 #3,Instagram,2025-09-18,2025-10-06,212985,Completed
4,Student Special 2024 #4,Instagram,2024-01-17,2024-01-29,951573,Completed
5,Early Bird Offer 2024 #5,Facebook,2024-01-11,2024-02-14,760148,Completed
6,Diwali Dhamaka 2023 #6,Instagram,2023-09-27,2023-11-03,253204,Completed
7,Independence Day Offer 2023 #7,LinkedIn,2023-12-10,2024-01-19,896913,Completed
8,Festive Deals 2024 #8,Facebook,2024-01-07,2024-01-15,420327,Completed
9,Republic Day Sale 2025 #9,LinkedIn,2025-05-13,2025-06-25,928427,Completed
10,Christmas Escape 2024 #10,Instagram,2024-05-10,2024-05-19,749022,Completed
11,Summer Escape 2025 #11,Instagram,2025-12-21,2026-02-04,206034,Completed
12,Christmas Escape 2024 #12,Email,2024-03-16,2024-04-17,626805,Completed
13,Christmas Escape 2026 #13,YouTube,2026-01-22,2026-02-03,416385,Completed
14,Monsoon Madness 2026 #14,Instagram,2026-04-08,2026-05-11,684386,Completed
15,Festive Deals 2024 #15,Google Ads,2024-09-10,2024-09-26,656852,Completed
16,Student Special 2025 #16,Instagram,2025-04-15,2025-05-29,553477,Completed
17,Early Bird Offer 2026 #17,Email,2026-06-13,2026-06-21,414658,Completed
18,Solo Explorer 2025 #18,Google Ads,2025-11-25,2025-12-07,907929,Completed
19,Long Weekend Sale 2025 #19,Instagram,2025-09-25,2025-11-07,478354,Completed
20,Diwali Dhamaka 2025 #20,Referral,2025-11-02,2025-11-30,883566,Completed
21,Republic Day Sale 2026 #21,LinkedIn,2026-04-26,2026-05-11,81869,Completed
22,Spiritual Journey 2026 #22,Google Ads,2026-08-03,2026-08-19,873659,Completed
23,Independence Day Offer 2024 #23,Instagram,2024-06-04,2024-07-02,104048,Completed
24,Backpacking Bonanza 2025 #24,Instagram,2025-05-23,2025-07-03,153454,Completed
25,Adventure Awaits 2025 #25,Google Ads,2025-07-29,2025-08-19,927501,Completed
26,Honeymoon Special 2025 #26,Google Ads,2025-09-11,2025-09-24,638345,Completed
27,Festive Deals 2025 #27,Referral,2025-06-01,2025-07-01,797251,Completed
28,Diwali Dhamaka 2024 #28,Instagram,2024-10-09,2024-11-15,181115,Completed
29,Backpacking Bonanza 2024 #29,Google Ads,2024-09-06,2024-10-08,99929,Completed
30,Student Special 2026 #30,Instagram,2026-05-16,2026-05-26,71353,Completed
